ID,Cultural_Identity,Gender,Country_Region,Undergrad_Degree,Years_Work_Experience,Analytics_Work_Experience,Strength_of_Recommendation,Standardized_Test_Score,Legacy_Admission,Mission_Statement,Admitted
250,Asian,Female,APAC,Other,-0.54,0,3.83,1.3333320827,0,I am interested in analytics and think your program offers the right courses.,0
251,Asian,Male,APAC,Other,-0.82,0.467173303,4.23,-0.032907841,0,,0
252,"White, Non-Hispanic",Male,EMEA,Math + Statistics,2.14,0,4.77,-0.121282699,0,I believe this program can help me improve my skills in data analysis.,0
253,"White, Non-Hispanic",Male,Americas,Economics,0.00,0,2.19,0.5552297543,0,"I believe that data has the power to transform industries and improve lives. My undergraduate degree in economics and my passion for analytics make me a strong candidate for your program. I am excited to learn advanced techniques and apply them to solve complex problems, ultimately driving innovation and growth.",1
254,Other,Female,APAC,Math + Statistics,0.00,0,2.51,1.4458307223,0,I wanna join your program cuz it's good. I love analytics and data.,0
255,"White, Non-Hispanic",Female,Americas,Other,14.02,0,5.00,-0.068009299,0,I have sum experience in data and want to learn more in your program.,0
256,"White, Non-Hispanic",Male,EMEA,Information Sciences,-5.27,0,4.10,0.4864169562,1,I am excited to join your program to explore the intersection of data analytics and artificial intelligence. This cutting-edge combination will open new avenues for innovation and problem-solving.,1
257,Asian,Male,APAC,Economics,-2.08,1.9855895627,2.80,-0.173922398,0,,0
258,"Black, Non-Hispanic",Male,Americas,Math + Statistics,1.74,2.0888571783,4.14,1.6302206426,0,"With a strong foundation in mathematics and statistics, I am eager to join your program to develop my analytical skills and contribute to solving complex problems in various industries.",1
259,Other,Male,Americas,Economics,11.81,1.632846333,3.94,0.2640400759,0,I have some experience in analytics and want to enhance my skills with this program.,0
260,Asian,Female,APAC,Other,-2.67,0,4.23,0.178383329,0,Your program is perfect for me. I want to learn more about analytics.,0
261,Asian,Male,APAC,Analytics,-0.01,0,2.44,-0.340350068,1,"I have worked in analytics, and your program will refine and expand my abilities.",0
262,"White, Non-Hispanic",Male,Americas,Other,-0.01,0.9223349613,3.05,-0.83429384,0,Data is great. I need to make lots of money. Please let me join your program!,0
263,Asian,Male,APAC,Math + Statistics,2.91,0.3652355076,1.94,0.0201328693,0,I am excited about the opportunity to develop my skills in data analysis through your program.,0
264,Asian,Male,Americas,Other,-2.09,0.605268346,1.58,-0.608848542,0,,0
265,"White, Non-Hispanic",Female,Americas,Economics,-1.68,8.3997602842,2.24,-0.718609561,0,"Having some experience in data analysis, I am motivated to gain more expertise.",0
266,Asian,Female,APAC,Other,0.00,0,3.64,-0.594828953,1,,0
267,Asian,Male,APAC,Math + Statistics,0.76,0,3.25,1.4318905176,0,"I am passionate about solving complex problems and am eager to join the Master of Analytics program. My robust academic foundation in math and statistics, along with extensive analytical experience, makes me an excellent fit. I am committed to using data to uncover insights and drive strategic decisions.",1
268,"White, Non-Hispanic",Male,Americas,Other,-0.79,2.337600557,3.56,1.1175698496,0,I am interested in gaining more knowledge in data analytics through your program.,0
269,"White, Non-Hispanic",Male,Americas,Information Sciences,2.40,0.1724932574,3.24,1.5319010121,0,"With a strong foundation in computer science and a passion for analytics, I am eager to join your program to gain advanced skills in data analysis and machine learning.",1
270,Hispanic,Male,EMEA,Information Sciences,12.22,0,2.67,0.1645787451,0,Your program’s focus on ethical data usage aligns with my values and career aspirations. Responsible data analytics is essential for sustainable business practices and societal impact.,1
271,"Black, Non-Hispanic",Female,APAC,Math + Statistics,-3.32,0,4.13,0.9324533039,1,My passion for data analytics and my background in engineering make the Master of Analytics program the perfect fit for me. I look forward to learning from industry experts and contributing to impactful projects.,0
272,Asian,Male,APAC,Information Sciences,2.90,0,4.46,0.3881730181,0,Your program looks like a good opportunity for me to learn more about analytics.,0
273,Hispanic,Male,EMEA,Economics,0.87,0,4.78,-0.968726427,0,I wanna join becuz I like analytics and your program looks good.,0
274,"White, Non-Hispanic",Male,Americas,Other,-1.34,0.6494157386,3.90,-2.303036106,0,I wanna get better at data. Your program will help me learn more.,0
275,"White, Non-Hispanic",Female,EMEA,Analytics,-1.44,0,2.99,1.2528767215,0,Mom and dad say grad school or job. Please let me join your program to avoid getting a job.,0
276,Asian,Female,APAC,Analytics,-0.01,0,2.62,1.7626941869,0,I like analytics and want to join your program. It looks good for my career.,0
277,"White, Non-Hispanic",Female,Americas,Math + Statistics,5.01,0,3.41,-0.161499438,0,I am eager to join your program to enhance my understanding of data analysis.,0
278,Asian,Female,APAC,Math + Statistics,-6.18,0,3.55,0.4554175367,0,Your program seems like a good opportunity for me to grow in analytics.,0
279,"White, Non-Hispanic",Male,Americas,Math + Statistics,-3.08,0,4.72,1.3567467868,0,"I am impressed by the balanced curriculum of this program, which integrates theory with practical application. My studies in mathematics and statistics have given me a solid theoretical foundation, but I am keen to gain more practical experience. This program's approach to combining classroom learning with hands-on projects and real-world problem-solving is exactly what I am looking for. I am excited about the opportunity to apply theoretical concepts to practical challenges, which will not only deepen my understanding but also enhance my problem-solving skills. This balance is essential for my growth as an analytics professional.",1
280,Asian,Male,APAC,Math + Statistics,7.56,0.4336686038,3.66,0.9392155341,0,Your program seems to offer the right opportunities for me to grow in data analysis.,0
281,Asian,Female,APAC,Economics,-1.60,0.4143693912,2.82,-0.295541473,0,Your program is good for me becuz I need to learn analytics and get a job.,0
282,"Black, Non-Hispanic",Male,Americas,Math + Statistics,0.00,0,2.19,-0.767600931,0,"I aim to leverage your program’s resources to stay updated with the latest trends in data analytics, ensuring I remain at the forefront of this rapidly evolving field.",0
283,"White, Non-Hispanic",Male,Americas,Other,1.70,3.0809440618,4.76,0.0683784942,0,I think analytics is interesting and I want to join your program.,0
284,Asian,Male,APAC,Information Sciences,5.16,0,5.00,-0.099306319,0,I am looking for a program that offers comprehensive training in analytics.,0
285,Asian,Female,APAC,Other,4.58,4.3097998743,3.23,1.2711373104,1,You should let me in because I'm pretty awesome.,0
286,"White, Non-Hispanic",Female,EMEA,Economics,-0.81,1.876472614,4.29,2.2456946073,0,Your program’s diverse curriculum will allow me to explore various facets of data analytics. This holistic approach will prepare me to address complex analytical challenges across different industries.,1
287,Other,Female,Americas,Economics,1.04,6.3344761452,3.84,0.0078091089,0,My passion for data analytics and my background in engineering make the Master of Analytics program the perfect fit for me. I look forward to learning from industry experts and contributing to impactful projects.,0
288,Hispanic,Female,Americas,Other,4.93,0.3493807172,2.33,0.6074270316,0,I wanna join cuz I love analytics and data. Your program is good for me.,0
289,"White, Non-Hispanic",Female,Americas,Economics,0.00,0,3.70,-2.113199526,0,I think your program offers the right mix of theory and practical experience for me.,0
290,Other,Female,Americas,Math + Statistics,-4.37,0.0455441169,3.37,0.5239581761,0,This program looks like it can help me achieve my goals in analytics.,0
291,Asian,Male,APAC,Math + Statistics,0.17,0.0124611831,5.00,-0.380685306,0,I have some experience in data analysis and believe this program can help me grow.,0
292,"White, Non-Hispanic",Female,EMEA,Math + Statistics,4.02,1.2681833225,3.23,-0.213552053,0,I have some experience in analytics and believe this program can help me grow.,0
293,Asian,Male,APAC,Math + Statistics,-0.29,0,2.97,-0.299545584,0,I aim to leverage your program’s focus on practical experience to gain hands-on skills in data analytics and apply them to drive business success.,0
294,Hispanic,Male,Americas,Math + Statistics,0.09,0,3.82,-0.56277806,0,Your program looks interesting. I want to join and learn more about data.,0
295,Asian,Male,APAC,Information Sciences,1.23,0,2.73,1.2360138349,0,I am excited about the prospect of learning more about analytics through your program.,0
296,Asian,Female,APAC,Other,10.01,3.9213590972,3.98,-0.360912373,0,"I am eager to build my data analysis skills, and this program seems to offer the right courses.",0
297,Asian,Male,APAC,Other,-3.50,0.9799450159,3.74,-0.289143914,0,I wanna join becuz analytics is fun and your program is good.,0
298,"White, Non-Hispanic",Male,Americas,Other,-0.49,5.4199203078,2.62,-0.011676255,0,,0
299,"White, Non-Hispanic",Male,Americas,Economics,-1.46,0,4.87,0.8155573102,0,I seek to leverage your program’s industry partnerships to gain practical experience and insights into the latest trends and technologies in data analytics.,1
300,"White, Non-Hispanic",Male,EMEA,Economics,3.51,0,3.91,-1.073628008,0,I think your program is good for me to learn analytics and get a job.,0
301,"White, Non-Hispanic",Male,Americas,Information Sciences,-0.22,0.3102750016,3.74,-1.318826275,0,I am eager to develop my data analysis skills through your program.,0
302,Hispanic,Female,Americas,Analytics,-1.90,6.117734334,2.74,-0.186079186,1,I want to join your program to gain more insights into data analytics.,0
303,Asian,Male,APAC,Other,2.19,1.6966757844,2.91,0.8502303978,0,I am eager to join your program to gain a deeper understanding of analytics.,0
304,Asian,Male,EMEA,Information Sciences,0.00,0,2.31,0.6707970061,0,I want to join your program because I have to learn analytics.,0
305,"White, Non-Hispanic",Male,EMEA,Analytics,5.27,1.0011299659,3.97,0.8999910734,0,I seek to leverage your program’s industry connections to gain practical insights into data analytics. The program’s emphasis on real-world applications and industry partnerships will enhance my professional growth.,1
306,Asian,Male,APAC,Economics,-1.24,1.481387334,2.58,0.0507803135,0,I'm awesome and that's why you should let me in.,0
307,"White, Non-Hispanic",Female,Americas,Math + Statistics,-0.01,0.9737768953,3.75,-0.3872166,0,Your program appears to have the courses I need to develop my data analysis skills.,0
308,"White, Non-Hispanic",Male,Americas,Economics,5.86,2.0063401187,3.57,0.0121479741,0,"I am passionate about the power of data to transform businesses and drive innovation. With a degree in economics and hands-on experience in data analysis, I am excited to take my skills to the next level through the Master of Analytics program. I am eager to learn advanced techniques and apply them to solve real-world problems.",1
309,Asian,Female,APAC,Analytics,8.82,1.7103097675,4.28,0.5187693477,0,Your program’s rigorous training will prepare me for the dynamic demands of the data analytics industry. The program’s comprehensive coursework and hands-on projects will enhance my analytical skills and practical expertise.,0
310,"White, Non-Hispanic",Female,Americas,Other,-2.24,1.5986723087,3.28,-0.494715069,0,,0
311,Asian,Female,APAC,Math + Statistics,0.49,0,3.07,-1.306119713,0,,0
312,Asian,Male,APAC,Economics,0.94,1.3174541361,2.56,1.1825257667,0,"Your program is good, I like analytics, so I wanna join.",0
313,"White, Non-Hispanic",Male,Americas,Math + Statistics,7.61,0.3913767031,3.69,-0.574569067,0,Your program’s commitment to innovation will inspire me to think creatively and develop cutting-edge solutions to analytical challenges.,1
314,Asian,Female,Americas,Other,0.00,0,4.05,0.5389421254,1,,0
315,Asian,Male,APAC,Analytics,0.40,1.8999638119,3.50,-0.026394818,0,I have a foundation in data science and want to expand my knowledge with your program.,0
316,Asian,Male,APAC,Other,0.48,0,2.92,0.3600222161,0,"I am interested in learning more about analytics, and this program seems like a good fit.",0
317,Asian,Male,APAC,Other,-0.95,0.0102826856,3.17,-0.497213182,0,I believe this program can help me gain a better understanding of data analysis.,0
318,"White, Non-Hispanic",Male,Americas,Other,7.54,0.4300437556,5.00,0.2666147121,0,"I want to expand my knowledge in analytics, and your program looks like a good fit.",0
319,Other,Male,Americas,Analytics,-0.12,0,3.31,-0.559358459,0,My experience in analytics sets a foundation that your program can build upon.,0
320,Asian,Male,APAC,Other,0.12,0,3.74,-0.504118861,0,I think your program offers the right opportunities for me to grow in analytics.,0
321,"White, Non-Hispanic",Male,Americas,Other,-2.80,4.5733483795,3.56,-1.504838153,0,I like analytics and your program looks good so I wanna join.,0
322,Hispanic,Female,APAC,Economics,0.00,0,5.00,0.6934570777,1,Your program’s diverse curriculum will allow me to explore various facets of data analytics. This holistic approach will prepare me to address complex analytical challenges across different industries.,1
323,"White, Non-Hispanic",Female,EMEA,Math + Statistics,0.00,0,3.05,1.7045891014,0,"With a background in mathematics and hands-on experience in data analysis, I am excited to join the Master of Analytics program to further my expertise and contribute to impactful projects.",1
324,Other,Female,EMEA,Other,0.39,0.5481056338,3.16,0.9720200625,0,,0
325,Asian,Male,APAC,Math + Statistics,-5.95,0,2.54,-0.369721259,0,Your program looks interesting and I want to learn analytics. I think I can do good.,0
326,"White, Non-Hispanic",Male,EMEA,Information Sciences,0.39,0,2.52,1.0485637998,0,"With a strong foundation in computer science, I am eager to join your program to enhance my data analysis capabilities and contribute to technological advancements.",1
327,"White, Non-Hispanic",Male,Americas,Other,-1.69,0,2.72,1.6642247032,0,I think your program offers the right balance of coursework and practical experience.,0
328,"Black, Non-Hispanic",Female,Americas,Economics,0.90,0,2.01,0.0704132477,0,I believe this program can provide the skills I need to excel in data analysis.,0
329,Asian,Female,APAC,Math + Statistics,-2.92,1.1859540025,4.94,-0.044416881,0,Your program appears to have the courses I need to develop my analytics skills.,0
330,"White, Non-Hispanic",Male,Americas,Other,2.13,9.0291372145,4.67,0.0822038495,0,I believe your program offers the right blend of theory and practice for my career goals.,0
331,Hispanic,Female,Americas,Economics,2.51,0,3.91,-1.310724514,0,"I am passionate about using data to drive business growth, and your program’s comprehensive curriculum will provide me with the knowledge and skills needed to achieve this.",0
332,Asian,Male,APAC,Math + Statistics,0.14,0,2.20,1.4611907403,0,My parents said go to grad school or get a job. Please let me join your program so I don't need a job.,0
333,Asian,Male,APAC,Other,-0.29,1.1290078475,3.00,-1.719323207,0,,0
334,"White, Non-Hispanic",Female,Americas,Other,0.00,0,1.91,-0.091321311,0,,0
335,Asian,Male,APAC,Other,-1.04,0,1.90,0.2881167807,0,,0
336,"White, Non-Hispanic",Male,EMEA,Math + Statistics,2.70,1.9619737736,3.24,-0.957597998,0,This program seems like a good opportunity for me to advance my career in data analysis.,0
337,"White, Non-Hispanic",Male,Americas,Other,0.66,1.4976717426,4.09,-2.025268894,0,I wanna join your program cuz analytics is cool. I like data.,0
338,Asian,Male,APAC,Economics,5.41,3.725619309,3.82,0.1122144615,0,Your program’s integration of theoretical and practical learning will prepare me for a successful career in data analytics. The comprehensive coursework and hands-on projects will enhance my analytical skills.,0
339,Hispanic,Female,APAC,Information Sciences,0.19,1.0501856903,3.56,-0.871803526,0,Your program seems like a good opportunity for me to develop my skills in analytics.,0
340,"White, Non-Hispanic",Male,EMEA,Other,-0.29,0,4.24,-0.461320732,0,I like analytics and wanna join your good-looking program.,0
341,Asian,Male,EMEA,Math + Statistics,1.89,0.2244420026,4.27,2.472000629,0,I am motivated to join your program to gain a deeper understanding of machine learning algorithms. The program’s comprehensive curriculum and hands-on projects will provide the expertise needed to excel in this area.,1
342,Other,Female,EMEA,Math + Statistics,0.00,0,2.09,0.5016686441,0,I believe your program offers the right balance of coursework and hands-on experience.,0
343,"White, Non-Hispanic",Female,Americas,Other,2.40,0.4673926759,2.15,-0.200396214,0,,0
344,Asian,Male,Americas,Math + Statistics,-0.85,0.6383655546,3.70,-0.962747658,0,I have been working with data for a few years and want to formalize my knowledge with this program.,0
345,"White, Non-Hispanic",Male,EMEA,Other,0.01,0,3.44,-0.679202403,0,My parents told me to apply to grad school or get a job. Please let me into your program so I don't have to get a job.,0
346,Hispanic,Male,EMEA,Economics,-2.48,0,4.02,-0.337297275,0,I am passionate about using data to make informed decisions. The Master of Analytics program's comprehensive curriculum and focus on practical applications will prepare me for a successful career in data analytics.,0
347,"White, Non-Hispanic",Male,EMEA,Analytics,-4.07,0,1.99,-1.428825934,1,I wanna join and learn data cuz your program looks interesting.,0
348,Asian,Male,APAC,Economics,4.14,0.8661577626,2.27,0.3156799893,0,Your program looks like a good opportunity for me to develop my skills in data analysis.,0
349,Other,Male,APAC,Other,0.00,0,4.29,1.0505535101,0,Your program looks good I want to join it. I know some data + data stuff.,0
350,"Black, Non-Hispanic",Female,EMEA,Information Sciences,2.71,4.8622626095,2.31,0.4440758226,0,Your program looks like it can help me achieve my career goals in data analysis.,0
351,Asian,Female,APAC,Other,-1.53,2.3910640253,2.49,1.073747666,0,"I'm really awesome, so you should accept me.",0
352,Asian,Female,APAC,Information Sciences,3.70,0,2.88,-0.186662294,0,"I want to build on my current knowledge and skills in data analysis, and this program looks ideal for that.",0
353,"White, Non-Hispanic",Male,EMEA,Analytics,0.49,0,3.30,0.7068230693,0,Your program’s diverse curriculum will provide me with a well-rounded education in data analytics. The program’s interdisciplinary approach will prepare me to address diverse analytical challenges in my future career.,1
354,"White, Non-Hispanic",Male,Americas,Information Sciences,3.50,1.2450840447,3.80,0.2165504176,0,"The Master of Analytics program's comprehensive approach to teaching analytics aligns perfectly with my career aspirations. With a background in information sciences, I am eager to deepen my understanding of advanced analytical techniques and apply them to solve real-world problems.",1
355,Asian,Female,APAC,Math + Statistics,-2.05,0,4.59,1.8204106109,0,I am passionate about using data to make informed decisions. The Master of Analytics program's comprehensive curriculum and focus on practical applications will prepare me for a successful career in data analytics.,0
356,"White, Non-Hispanic",Male,Americas,Other,0.86,0.010106376,3.45,0.2266558346,0,I believe this program can help me better understand the field of analytics.,0
357,Hispanic,Male,Americas,Math + Statistics,10.80,2.0976353904,2.74,-0.112451531,0,I am looking for a program that can help me better understand analytics.,0
358,Asian,Female,APAC,Analytics,3.88,5.9364335334,3.56,0.493723218,0,I believe your program offers the right blend of theory and practice for my career goals.,0
359,"Black, Non-Hispanic",Male,Americas,Math + Statistics,-0.05,0,2.52,1.2006949657,1,"With a passion for data-driven decision-making, I am eager to join your program to gain advanced skills in analytics and drive strategic decisions in my future career.",1
360,Asian,Male,APAC,Information Sciences,-0.01,0,2.53,0.0826602955,0,I am excited to join your program to gain expertise in big data technologies and apply them to drive business success and innovation.,0
361,Hispanic,Female,APAC,Analytics,1.78,0,2.70,0.3778422023,0,"I am looking for a program that can help me better understand data analysis, and yours seems ideal.",0
362,Other,Male,APAC,Analytics,1.39,6.3953637307,2.45,1.2979037134,0,"I want to join your program because it's there, and I like data.",0
363,"White, Non-Hispanic",Male,EMEA,Other,1.75,0,4.27,-0.057188327,1,Your program looks like it can provide the training I need to excel in analytics.,1
364,"White, Non-Hispanic",Female,Americas,Other,1.84,2.3417349199,2.82,0.8704696152,0,"I want to learn analytics more, and your program is perfect for me.",0
365,Asian,Male,APAC,Information Sciences,0.79,0,2.91,1.2700863236,0,"With a background in computer science, I am eager to join your program to develop my skills in data analysis and machine learning, and to contribute to innovative projects.",0
366,Asian,Male,APAC,Economics,5.42,2.2521710008,4.21,0.2577874891,0,,0
367,Asian,Female,APAC,Other,-2.88,0,5.00,-1.234308206,1,I have a background in statistics and want to apply it in the field of analytics. This program seems perfect for that.,0
368,Asian,Male,EMEA,Information Sciences,-3.72,2.5713278328,3.86,0.4922828466,0,"The structure of your program, with its emphasis on both theory and practical applications, aligns perfectly with my educational goals. My experience in the field of data analytics has shown me the value of a curriculum that provides a strong theoretical foundation while also offering ample opportunities for practical application. This program's blend of rigorous coursework and hands-on projects will enable me to develop a comprehensive understanding of analytics. I am particularly excited about the chance to work on real-world problems and collaborate with industry professionals, which will enhance my learning and prepare me for future challenges.",1
369,Asian,Male,Americas,Information Sciences,4.05,0,3.19,0.7629376908,0,"With a background in computer science, I am eager to join the Master of Analytics program to develop my skills in data analysis and machine learning, and to drive innovation in the tech industry.",1
370,Asian,Female,EMEA,Economics,-0.55,0.299388971,3.79,0.0364487847,0,I am motivated to join your program to gain expertise in predictive analytics and its applications. The program’s comprehensive curriculum will provide the knowledge and skills needed to excel in this area.,1
371,Asian,Female,EMEA,Analytics,2.01,0,2.35,-0.257418185,0,I seek to leverage your program’s comprehensive training to enhance my problem-solving abilities and tackle complex analytical challenges effectively.,0
372,Other,Female,APAC,Economics,1.97,2.0634784779,2.64,-0.491244787,0,I think your program is interesting. I wanna join and learn more data.,0
373,Asian,Female,APAC,Math + Statistics,7.44,0,1.59,0.9044224409,0,Your program is interesting. I wanna join and learn more about data.,0
374,Hispanic,Male,Americas,Other,0.00,0,3.39,0.3748476649,0,I think this program offers the right blend of theory and practice for my career goals.,0
375,"White, Non-Hispanic",Male,Americas,Math + Statistics,1.19,0,3.56,-0.47234294,1,Your program looks like it can provide the training I need in data analysis.,1
376,"White, Non-Hispanic",Female,EMEA,Other,2.89,0,2.65,-1.663563641,0,,0
377,"White, Non-Hispanic",Male,Americas,Math + Statistics,-1.98,1.8338571578,3.78,-0.733406975,1,Your program’s emphasis on real-world applications will prepare me to address complex analytical challenges and drive business success in my future career.,1
378,"Black, Non-Hispanic",Male,Americas,Information Sciences,0.27,0.7409029548,4.15,-0.587378597,0,Your program looks like a good opportunity for me to develop my skills in data analysis.,0
379,"White, Non-Hispanic",Male,EMEA,Information Sciences,-1.34,4.4010841335,3.66,-0.259091814,0,"I want to build on my current knowledge and skills in analytics, and I believe this program can help me do that.",0
380,"White, Non-Hispanic",Female,EMEA,Math + Statistics,1.11,0.1116733832,2.87,0.2973915005,1,I am passionate about using data to make informed decisions. The Master of Analytics program's comprehensive curriculum and focus on practical applications will prepare me for a successful career in data analytics.,1
381,"White, Non-Hispanic",Female,EMEA,Information Sciences,1.46,0.4377595336,2.87,0.1997719409,0,I am excited about the prospect of learning more about data analysis through your program.,0
382,Asian,Male,APAC,Math + Statistics,0.12,0,3.06,-0.455623116,0,I wanna be part of your program becuz it’s good and analytics is fun.,0
383,"White, Non-Hispanic",Female,Americas,Math + Statistics,-0.38,5.4354701936,4.35,-0.844144057,0,Your program looks interesting and I want to join and learn more data.,0
384,Asian,Female,APAC,Information Sciences,-0.62,0.4074793073,3.81,0.0750653338,0,My goal is to use data to drive business growth. The Master of Analytics program's focus on practical experience and industry partnerships will help me achieve this.,0
385,Asian,Female,APAC,Information Sciences,0.66,0.959191546,4.07,0.1687139018,0,My experience in data analysis and my passion for predictive modeling make the Master of Analytics program an ideal fit for me. I look forward to learning from esteemed faculty and contributing to impactful projects.,0
386,Asian,Female,APAC,Math + Statistics,0.21,0,3.02,-0.660266947,0,"With a degree in mathematics and substantial experience in data analysis, I am eager to advance my knowledge through the Master of Analytics program. The program's focus on hands-on learning and real-world problem-solving aligns perfectly with my career goals.",0
387,Asian,Female,APAC,Math + Statistics,0.24,0,5.00,-0.754792939,0,"I am looking to advance my career in analytics, and this program offers the right opportunities.",0
388,Asian,Male,APAC,Math + Statistics,0.70,0,4.57,0.1113513293,0,I am motivated to join your program to gain a deeper understanding of machine learning algorithms. The program’s comprehensive curriculum and hands-on projects will provide the expertise needed to excel in this area.,0
389,"White, Non-Hispanic",Male,EMEA,Math + Statistics,0.00,0,3.53,0.5077253982,0,"With a degree in mathematics and a passion for data analysis, I am eager to join your program to develop my skills in analytics and contribute to solving complex problems in various industries.",1
390,Asian,Male,APAC,Information Sciences,0.00,0,3.59,0.0294027562,0,"I need to join a program, and yours is available.",0
391,Asian,Male,APAC,Information Sciences,5.98,1.0603674498,4.41,1.0994113513,0,I want to join your program to gain a better understanding of data analysis.,0
392,Asian,Female,APAC,Analytics,0.00,0,5.00,0.3727052794,0,I seek to leverage your program’s industry partnerships to gain practical experience and insights into the latest trends and technologies in data analytics.,0
393,"White, Non-Hispanic",Female,Americas,Other,9.91,4.4229057634,4.21,-1.791525781,0,I want to join becuz I love analytics and data. Your program is perfect for me.,0
394,"White, Non-Hispanic",Female,Americas,Math + Statistics,-1.32,0.2734329034,3.27,-0.299203098,0,"I want to develop my skills in data analysis, and your program seems like a good fit.",0
395,"Black, Non-Hispanic",Male,EMEA,Economics,0.43,0.5880695266,1.90,-0.850657577,1,This program looks like it can help me achieve my goals in analytics.,0
396,"White, Non-Hispanic",Male,Americas,Other,-1.12,0.4862850381,2.59,0.042098114,0,Your program looks like it can provide the training I need to excel in analytics.,0
397,Asian,Female,APAC,Economics,13.92,1.6323830186,3.01,0.6238647632,0,I want to bridge the gap between data and decision-making. Your program’s focus on data-driven insights and strategic thinking supports my ambition to become a key player in business analytics.,1
398,Asian,Male,APAC,Economics,3.61,0,3.56,0.3568692153,0,Your program seems like a good opportunity for me to grow in analytics.,0
399,"White, Non-Hispanic",Male,EMEA,Math + Statistics,-1.02,0,3.79,-0.496457906,0,I believe this program can help me better understand the field of data analysis.,0
400,Hispanic,Male,Americas,Other,1.31,3.6074063742,4.37,0.890763818,0,I believe your program offers the right balance of coursework and hands-on experience.,0
401,Asian,Male,APAC,Other,4.40,0,3.54,0.5326833746,0,,0
402,"White, Non-Hispanic",Male,Americas,Information Sciences,5.25,2.1674069762,3.81,0.0032811349,0,I have always been fascinated by the power of data to drive strategic decisions. The Master of Analytics program will provide me with the advanced skills needed to excel in this field. I look forward to collaborating with peers and faculty to tackle complex analytical challenges.,1
403,Asian,Female,APAC,Economics,7.30,0,4.56,0.3572820155,0,I seek to enhance my programming skills through the advanced courses offered in your program. Proficiency in programming languages is essential for developing effective analytical solutions.,0
404,"White, Non-Hispanic",Male,Americas,Other,5.23,0,3.94,-0.598753473,0,I love analytics and data so I wanna join. Your program is good for me.,0
405,Asian,Female,APAC,Math + Statistics,-0.46,0,2.81,1.442850178,0,"I am excited to join the Master of Analytics program as someone who enjoys solving complex problems. My robust academic foundation in mathematics and statistics, along with my analytical expertise, makes me an ideal fit. I am dedicated to leveraging data to uncover insights and inform strategic decisions.",1
406,Asian,Female,Americas,Math + Statistics,0.99,5.7265397102,2.42,0.3758873346,1,I have a strong interest in analytics and believe this program can help me grow in the field.,0
407,Asian,Male,APAC,Economics,0.00,0,3.29,0.4258771733,0,"I want to deepen my understanding of data analysis, and your program looks ideal.",0
408,"White, Non-Hispanic",Male,Americas,Economics,-1.38,1.0950082768,3.10,-1.25215661,0,I believe this program can help me improve my skills in data analysis.,0
409,Asian,Male,APAC,Math + Statistics,-0.65,0.5050726926,5.00,0.5142668505,0,I have some experience in analytics and believe this program can help me grow.,0
410,"White, Non-Hispanic",Male,APAC,Math + Statistics,-4.92,0.2553493161,4.45,0.4144924086,0,I am passionate about using data to improve business processes. The Master of Analytics program's focus on practical applications aligns with my career goals of becoming a data-driven decision-maker.,0
411,Asian,Female,APAC,Other,2.40,0,3.74,0.2700999143,0,This program seems like a great way to improve my abilities in data analysis.,0
412,"White, Non-Hispanic",Male,Americas,Other,-2.16,1.4437933579,3.90,0.1459035059,0,I believe your program offers the right blend of theory and practice for my career goals.,0
413,Asian,Female,Americas,Other,-0.10,1.0991685949,3.55,-0.093072117,0,I am looking for a program that offers a solid foundation in analytics.,0
414,Asian,Female,APAC,Economics,0.00,0,0.97,0.4300594142,0,Your program looks like it can provide the training I need to excel in analytics.,0
415,Asian,Female,APAC,Other,0.00,0,2.89,-0.707418355,0,,0
416,Asian,Male,Americas,Math + Statistics,-3.49,0.2035189953,4.32,1.1829143695,0,I am eager to learn more about analytics through your program.,0
417,Asian,Male,APAC,Economics,0.00,0,3.57,1.7697396153,0,"As a data enthusiast with a strong background in economics, I am eager to join the Master of Analytics program to deepen my analytical skills and apply them to real-world problems. This program's comprehensive curriculum and focus on practical applications align perfectly with my career goals.",1
418,Asian,Male,APAC,Economics,3.95,3.8470482787,5.00,0.8994177664,0,Analytics is cool so I wanna join your program. I like data.,0
419,"White, Non-Hispanic",Female,EMEA,Math + Statistics,-0.23,4.1471001079,2.28,2.6929373727,0,"With a strong foundation in mathematics and statistics, I am eager to join your program to develop my analytical skills and contribute to solving complex problems in various industries.",1
420,"White, Non-Hispanic",Female,EMEA,Other,5.38,2.5406342642,4.31,0.8976398826,1,This program seems like a good way to improve my skills in data analysis and advance my career.,1
421,"White, Non-Hispanic",Male,Americas,Other,-1.05,0,4.84,-1.025243914,0,I seek to leverage your program’s industry partnerships to gain practical experience and insights into the latest trends and technologies in data analytics.,1
422,Other,Female,Americas,Economics,1.73,0,3.03,-1.858372712,0,I am looking for a program that can help me deepen my understanding of data analysis.,0
423,Other,Female,Americas,Math + Statistics,-2.37,1.5195927865,4.90,-0.27769265,0,Your program is perfect becuz I want to learn more about analytics.,0
424,"White, Non-Hispanic",Male,Americas,Economics,1.46,0.7430543213,2.87,0.5211450921,0,Your program’s emphasis on statistical analysis will prepare me for the complexities of data analytics. The comprehensive coursework and practical experience will enhance my analytical skills and problem-solving abilities.,1
425,Asian,Female,APAC,Other,-0.09,0.1077019656,2.75,-0.709484187,0,,0
426,Asian,Female,APAC,Other,15.06,2.9170185805,2.61,0.8576918415,0,,0
